Service_Category,Material_Shape,Is_Fragile,Length_cm,Width_cm,Height_cm,Volume_cm3,Actual_Weight_kg,Density,Target_Divisor
Solar Services,Box,1,184.7,88.5,5.5,89902.72,22.2,0.000247,3500
Solar Services,Box,1,163.0,101.5,8.6,142282.7,25.3,0.000178,3500
Solar Services,Box,1,159.5,90.0,8.7,124888.5,29.2,0.000234,3500
Painting,Cylindrical,0,33.4,20.7,43.7,30213.31,24.6,0.000814,4500
Construction,Irregular,0,62.0,70.2,40.4,175836.96,44.5,0.000253,4500
Construction,Irregular,0,58.5,54.7,36.5,116798.18,43.9,0.000376,4500
Interiors,Wrapped,1,42.8,68.9,15.6,46003.15,11.7,0.000254,3500
Construction,Irregular,0,46.9,59.5,36.5,101855.07,46.8,0.000459,4500
Construction,Irregular,0,55.1,56.6,36.3,113207.36,81.6,0.000721,4500
Construction,Irregular,0,86.3,54.6,20.5,96595.59,55.1,0.00057,4500
Solar Services,Box,1,219.9,91.1,4.9,98161.16,29.7,0.000303,3500
Interiors,Wrapped,1,127.1,147.5,19.1,358072.48,32.5,9.1e-05,3500
Interiors,Wrapped,1,73.2,143.3,16.1,168881.92,11.3,6.7e-05,3500
Solar Services,Box,1,192.8,108.3,9.0,187922.16,19.2,0.000102,3500
Interiors,Wrapped,1,111.8,63.8,10.0,71328.4,24.4,0.000342,3500
Interiors,Wrapped,1,58.3,141.5,12.0,98993.4,30.2,0.000305,3500
Painting,Cylindrical,0,28.4,29.3,38.4,31953.41,16.5,0.000516,4500
Interiors,Box,0,57.9,93.2,77.7,419290.96,21.4,5.1e-05,5000
Construction,Irregular,0,92.6,58.0,23.0,123528.4,95.3,0.000771,4500
Interiors,Wrapped,1,56.5,117.0,12.1,79987.05,11.8,0.000148,3500
Interiors,Box,0,160.4,63.3,56.4,572647.25,30.0,5.2e-05,5000
Painting,Cylindrical,0,33.3,26.5,34.6,30532.77,22.3,0.00073,4500
Interiors,Box,0,82.2,78.4,82.5,531669.6,19.6,3.7e-05,5000
Interiors,Box,0,54.3,70.6,55.0,210846.9,46.8,0.000222,5000
Painting,Cylindrical,0,25.1,24.7,47.2,29262.58,17.3,0.000591,4500
Construction,Irregular,0,83.7,53.9,27.6,124515.47,72.3,0.000581,4500
Construction,Irregular,0,66.6,63.6,32.4,137238.62,67.1,0.000489,4500
Interiors,Wrapped,1,89.6,148.9,9.0,120072.96,24.3,0.000202,3500
Interiors,Box,0,147.6,55.9,62.0,511552.08,43.9,8.6e-05,5000
Solar Services,Box,1,183.0,99.7,8.8,160556.88,24.7,0.000154,3500
Solar Services,Box,1,206.9,87.1,6.2,111730.14,22.3,0.0002,3500
Construction,Irregular,0,63.9,55.5,25.0,88661.25,75.0,0.000846,4500
Interiors,Wrapped,1,97.7,147.0,8.4,120639.96,15.6,0.000129,3500
Interiors,Box,0,162.0,55.3,73.5,658457.1,30.2,4.6e-05,5000
Solar Services,Box,1,200.3,87.0,5.8,101071.38,24.9,0.000246,3500
Interiors,Wrapped,1,97.3,113.0,11.6,127540.84,33.8,0.000265,3500
Interiors,Wrapped,1,119.7,115.2,7.3,100662.91,15.2,0.000151,3500
Interiors,Wrapped,1,51.6,55.2,14.9,42439.97,15.5,0.000365,3500
Solar Services,Box,1,200.0,106.5,5.0,106500.0,21.1,0.000198,3500
Interiors,Box,0,189.0,79.2,67.1,1004406.48,51.4,5.1e-05,5000
Painting,Cylindrical,0,20.0,21.7,41.2,17880.8,12.1,0.000677,4500
Interiors,Wrapped,1,50.0,53.0,14.3,37895.0,19.1,0.000504,3500
Construction,Irregular,0,43.3,46.7,33.2,67134.05,53.4,0.000795,4500
Solar Services,Box,1,201.1,103.1,6.5,134767.17,25.4,0.000188,3500
Construction,Irregular,0,83.4,97.7,31.3,255038.03,69.5,0.000273,4500
Interiors,Box,0,171.6,56.7,91.6,891242.35,28.5,3.2e-05,5000
Interiors,Box,0,120.0,87.7,61.3,645121.2,53.4,8.3e-05,5000
Interiors,Box,0,158.1,78.0,54.7,674549.46,36.9,5.5e-05,5000
Construction,Irregular,0,61.1,82.2,23.1,116017.9,66.1,0.00057,4500
Solar Services,Box,1,203.1,97.1,7.9,155795.98,19.0,0.000122,3500
Solar Services,Box,1,189.7,97.2,4.0,73755.36,20.3,0.000275,3500
Painting,Cylindrical,0,25.5,39.8,42.5,43133.25,14.1,0.000327,4500
Interiors,Wrapped,1,88.5,101.6,17.7,159151.32,33.9,0.000213,3500
Construction,Irregular,0,48.2,69.3,50.0,167013.0,45.6,0.000273,4500
Painting,Cylindrical,0,22.5,23.0,34.2,17698.5,28.9,0.001633,4500
Painting,Cylindrical,0,31.8,37.1,48.6,57337.31,16.8,0.000293,4500
Painting,Cylindrical,0,39.6,32.5,36.2,46589.4,11.5,0.000247,4500
Interiors,Box,0,188.2,62.9,98.9,1170756.44,22.4,1.9e-05,5000
Painting,Cylindrical,0,25.6,38.2,49.4,48309.25,22.4,0.000464,4500
Construction,Irregular,0,74.4,95.5,35.7,253655.64,68.3,0.000269,4500
Painting,Cylindrical,0,39.4,32.1,30.6,38701.04,19.3,0.000499,4500
Interiors,Box,0,142.4,61.2,53.7,467989.06,27.4,5.9e-05,5000
Interiors,Wrapped,1,90.9,66.6,6.7,40561.4,31.7,0.000782,3500
Solar Services,Box,1,190.8,96.0,6.6,120890.88,20.1,0.000166,3500
Painting,Cylindrical,0,23.7,24.1,40.8,23303.74,25.3,0.001086,4500
Painting,Cylindrical,0,38.5,29.5,39.2,44521.4,17.8,0.0004,4500
Interiors,Box,0,108.6,62.9,83.4,569700.4,58.8,0.000103,5000
Painting,Cylindrical,0,31.5,25.3,43.6,34747.02,20.3,0.000584,4500
Construction,Irregular,0,65.9,77.3,32.5,165557.28,68.6,0.000414,4500
Interiors,Box,0,125.8,64.4,76.7,621386.58,30.4,4.9e-05,5000
Construction,Irregular,0,41.8,84.3,41.2,145178.09,83.7,0.000577,4500
Painting,Cylindrical,0,21.8,21.7,44.8,21193.09,20.7,0.000977,4500
Interiors,Wrapped,1,129.3,115.7,12.2,182512.12,17.9,9.8e-05,3500
Interiors,Wrapped,1,130.9,65.2,8.9,75958.65,38.6,0.000508,3500
Construction,Irregular,0,89.9,88.5,48.0,381895.2,63.9,0.000167,4500
Solar Services,Box,1,215.5,86.6,9.7,181024.31,19.6,0.000108,3500
Interiors,Box,0,161.2,61.6,88.1,874825.95,17.3,2e-05,5000
Solar Services,Box,1,199.3,104.7,6.9,143980.3,23.2,0.000161,3500
Interiors,Wrapped,1,68.8,139.3,8.8,84337.79,22.9,0.000272,3500
Solar Services,Box,1,189.2,93.4,9.4,166110.03,22.7,0.000137,3500
Solar Services,Box,1,185.6,98.9,8.1,148682.3,27.4,0.000184,3500
Solar Services,Box,1,181.4,80.7,8.1,118575.74,24.3,0.000205,3500
Interiors,Wrapped,1,75.0,42.3,15.3,48539.25,39.7,0.000818,3500
Interiors,Box,0,114.7,82.2,84.3,794809.06,19.2,2.4e-05,5000
Painting,Cylindrical,0,24.6,27.1,48.2,32133.01,22.3,0.000694,4500
Solar Services,Box,1,189.2,80.1,8.8,133363.3,18.2,0.000136,3500
Construction,Irregular,0,86.9,88.8,24.3,187516.3,50.6,0.00027,4500
Painting,Cylindrical,0,31.9,27.9,41.2,36668.41,10.7,0.000292,4500
Solar Services,Box,1,195.8,84.1,4.1,67513.8,29.4,0.000435,3500
Interiors,Box,0,141.4,60.9,72.9,627760.85,33.1,5.3e-05,5000
Interiors,Box,0,90.2,88.3,69.6,554340.34,44.7,8.1e-05,5000
Painting,Cylindrical,0,22.1,37.3,47.3,38990.81,10.9,0.00028,4500
Construction,Irregular,0,84.5,51.4,34.6,150278.18,57.7,0.000384,4500
Interiors,Wrapped,1,63.1,145.0,17.1,156456.45,38.7,0.000247,3500
Painting,Cylindrical,0,24.1,30.4,35.7,26155.25,18.6,0.000711,4500
Solar Services,Box,1,166.7,105.5,4.8,84416.88,27.0,0.00032,3500
Painting,Cylindrical,0,26.1,27.4,44.7,31966.76,16.2,0.000507,4500
Construction,Irregular,0,96.5,71.4,47.3,325901.73,85.8,0.000263,4500
Solar Services,Box,1,218.6,84.3,4.3,79240.31,20.4,0.000257,3500
Solar Services,Box,1,217.7,88.6,9.6,185166.91,21.3,0.000115,3500
Interiors,Wrapped,1,148.6,146.7,18.8,409832.86,33.8,8.2e-05,3500
Painting,Cylindrical,0,35.7,33.4,35.3,42091.01,26.4,0.000627,4500
Construction,Irregular,0,31.2,79.8,36.9,91872.14,96.2,0.001047,4500
Painting,Cylindrical,0,32.4,22.0,48.5,34570.8,26.9,0.000778,4500
Painting,Cylindrical,0,31.8,38.4,34.7,42372.86,21.8,0.000514,4500
Solar Services,Box,1,190.9,94.6,9.2,166144.09,27.2,0.000164,3500
Construction,Irregular,0,64.0,71.5,27.8,127212.8,89.6,0.000704,4500
Interiors,Wrapped,1,146.5,94.5,10.8,149517.9,32.1,0.000215,3500
Interiors,Wrapped,1,131.5,123.3,7.8,126468.81,33.1,0.000262,3500
Interiors,Wrapped,1,82.5,94.0,19.3,149671.5,33.8,0.000226,3500
Construction,Irregular,0,51.0,73.0,39.9,148547.7,52.3,0.000352,4500
Interiors,Wrapped,1,114.0,81.4,16.7,154969.32,14.7,9.5e-05,3500
Construction,Irregular,0,59.7,92.7,49.4,273388.99,56.3,0.000206,4500
Interiors,Box,0,66.9,55.5,68.5,254337.08,36.6,0.000144,5000
Interiors,Wrapped,1,96.2,99.8,8.3,79686.31,27.8,0.000349,3500
Solar Services,Box,1,214.1,83.0,9.0,159932.7,21.9,0.000137,3500
Solar Services,Box,1,163.2,105.2,5.0,85843.2,27.6,0.000322,3500
Interiors,Box,0,181.4,89.3,79.8,1292681.8,54.0,4.2e-05,5000
Solar Services,Box,1,195.9,102.1,7.0,140009.73,28.4,0.000203,3500
Painting,Cylindrical,0,25.2,33.4,37.8,31815.5,13.3,0.000418,4500
Painting,Cylindrical,0,30.5,31.2,33.6,31973.76,26.5,0.000829,4500
Painting,Cylindrical,0,35.9,38.4,35.4,48801.02,17.4,0.000357,4500
Solar Services,Box,1,162.9,103.8,6.8,114981.34,24.4,0.000212,3500
Painting,Cylindrical,0,24.4,24.9,41.9,25456.76,12.7,0.000499,4500
Interiors,Wrapped,1,43.1,47.0,14.0,28359.8,19.8,0.000698,3500
Painting,Cylindrical,0,35.4,20.7,46.0,33707.88,14.4,0.000427,4500
Solar Services,Box,1,182.8,90.1,5.2,85645.46,28.8,0.000336,3500
Solar Services,Box,1,203.1,106.4,5.3,114532.15,29.2,0.000255,3500
Construction,Irregular,0,35.8,71.0,32.4,82354.32,55.6,0.000675,4500
Construction,Irregular,0,99.6,73.6,34.5,252904.32,76.7,0.000303,4500
Interiors,Box,0,60.7,54.0,70.9,232396.02,53.4,0.00023,5000
Painting,Cylindrical,0,24.0,31.8,39.6,30222.72,25.1,0.000831,4500
Interiors,Wrapped,1,84.2,107.2,13.1,118243.74,25.9,0.000219,3500
Painting,Cylindrical,0,38.9,39.4,40.1,61459.67,23.4,0.000381,4500
Interiors,Box,0,59.4,94.7,74.8,420763.46,28.3,6.7e-05,5000
Interiors,Wrapped,1,148.6,60.3,8.6,77060.99,24.6,0.000319,3500
Solar Services,Box,1,217.2,93.8,7.3,148725.53,20.5,0.000138,3500
Construction,Irregular,0,43.7,63.1,30.1,82999.85,64.0,0.000771,4500
Solar Services,Box,1,193.8,84.3,8.4,137233.66,23.6,0.000172,3500
Interiors,Box,0,60.9,99.0,95.8,577587.78,54.8,9.5e-05,5000
Solar Services,Box,1,206.8,80.5,7.8,129849.72,28.0,0.000216,3500
Construction,Irregular,0,57.9,84.5,23.1,113017.91,63.2,0.000559,4500
Painting,Cylindrical,0,28.3,33.8,31.4,30035.36,12.4,0.000413,4500
Interiors,Box,0,68.3,94.3,98.0,631187.62,25.9,4.1e-05,5000
Interiors,Wrapped,1,60.7,120.0,10.4,75753.6,22.2,0.000293,3500
Interiors,Box,0,131.0,54.8,55.0,394834.0,59.5,0.000151,5000
Painting,Cylindrical,0,32.7,38.6,46.5,58693.23,12.9,0.00022,4500
Solar Services,Box,1,175.0,102.3,7.0,125317.5,24.8,0.000198,3500
Interiors,Wrapped,1,84.2,71.2,6.0,35970.24,11.8,0.000328,3500
Painting,Cylindrical,0,24.6,30.8,34.1,25836.89,14.4,0.000557,4500
Interiors,Wrapped,1,141.5,78.2,17.8,196962.34,28.0,0.000142,3500
Solar Services,Box,1,192.3,93.2,4.4,78858.38,19.8,0.000251,3500
Solar Services,Box,1,216.1,89.4,8.3,160350.52,24.2,0.000151,3500
Construction,Irregular,0,86.1,51.8,26.6,118635.47,98.0,0.000826,4500
Interiors,Box,0,192.3,55.4,54.5,580611.39,42.5,7.3e-05,5000
Interiors,Box,0,127.4,91.2,96.2,1117736.26,47.3,4.2e-05,5000
Interiors,Wrapped,1,49.4,65.6,13.7,44396.77,13.9,0.000313,3500
Interiors,Box,0,188.1,71.5,88.2,1186215.03,47.0,4e-05,5000
Painting,Cylindrical,0,31.4,32.6,41.4,42378.7,19.5,0.00046,4500
Interiors,Wrapped,1,84.1,101.5,11.1,94751.26,35.6,0.000376,3500
Interiors,Wrapped,1,80.1,54.4,17.8,77562.43,14.1,0.000182,3500
Construction,Irregular,0,73.4,86.0,42.8,270170.72,65.6,0.000243,4500
Construction,Irregular,0,71.7,86.8,39.6,246452.98,46.3,0.000188,4500
Interiors,Box,0,151.2,54.4,78.1,642394.37,17.4,2.7e-05,5000
Interiors,Wrapped,1,129.5,91.5,17.2,203807.1,34.2,0.000168,3500
Solar Services,Box,1,218.5,90.1,6.5,127964.52,22.7,0.000177,3500
Painting,Cylindrical,0,22.4,21.2,41.9,19897.47,23.4,0.001176,4500
Interiors,Box,0,142.4,67.4,60.0,575865.6,45.1,7.8e-05,5000
Interiors,Wrapped,1,101.2,82.7,10.3,86203.17,22.1,0.000256,3500
Solar Services,Box,1,154.6,100.8,4.0,62334.72,20.6,0.00033,3500
Construction,Irregular,0,74.4,36.0,38.5,103118.4,73.4,0.000712,4500
Solar Services,Box,1,192.7,83.7,7.5,120967.43,24.2,0.0002,3500
Interiors,Wrapped,1,147.6,126.7,19.9,372148.31,25.5,6.9e-05,3500
Interiors,Wrapped,1,95.6,94.4,16.5,148906.56,30.9,0.000208,3500
Interiors,Wrapped,1,57.2,93.5,12.7,67922.14,29.5,0.000434,3500
Construction,Irregular,0,39.8,91.2,30.7,111433.63,88.0,0.00079,4500
Interiors,Box,0,150.7,96.8,56.4,822749.66,59.0,7.2e-05,5000
Construction,Irregular,0,49.6,74.5,38.0,140417.6,72.0,0.000513,4500
Interiors,Box,0,98.4,68.5,97.2,655166.88,30.7,4.7e-05,5000
Interiors,Box,0,165.9,51.0,68.6,580417.74,33.4,5.8e-05,5000
Solar Services,Box,1,167.2,106.5,5.0,89034.0,23.2,0.000261,3500
Construction,Irregular,0,59.8,84.1,23.7,119191.57,93.8,0.000787,4500
Interiors,Wrapped,1,115.6,46.6,9.0,48482.64,27.3,0.000563,3500
Painting,Cylindrical,0,33.0,24.2,36.7,29308.62,11.7,0.000399,4500
Solar Services,Box,1,210.8,109.2,4.4,101285.18,20.7,0.000204,3500
Solar Services,Box,1,176.1,91.6,8.1,130659.16,24.5,0.000188,3500
Interiors,Box,0,104.7,80.7,86.4,730018.66,19.4,2.7e-05,5000
Interiors,Wrapped,1,41.8,99.2,8.5,35245.76,14.7,0.000417,3500
Construction,Irregular,0,87.7,85.2,21.2,158407.25,73.1,0.000461,4500
Painting,Cylindrical,0,31.9,39.6,38.9,49140.04,20.0,0.000407,4500
Solar Services,Box,1,175.0,93.8,6.8,111622.0,20.3,0.000182,3500
Construction,Irregular,0,85.5,46.1,34.1,134406.86,87.3,0.00065,4500
Construction,Irregular,0,72.7,32.8,45.4,108259.02,77.7,0.000718,4500
Solar Services,Box,1,204.0,105.9,6.7,144744.12,22.1,0.000153,3500
Interiors,Wrapped,1,65.3,70.2,15.3,70136.12,31.8,0.000453,3500
Interiors,Box,0,193.8,76.3,77.8,1150423.93,36.2,3.1e-05,5000
Construction,Irregular,0,46.2,90.8,20.9,87674.66,91.0,0.001038,4500
Painting,Cylindrical,0,21.4,26.3,38.6,21724.85,10.7,0.000493,4500
Construction,Irregular,0,87.9,67.1,29.4,173403.85,90.1,0.00052,4500
Construction,Irregular,0,93.0,78.3,28.3,206077.77,86.5,0.00042,4500
Painting,Cylindrical,0,30.5,20.7,39.2,24748.92,15.4,0.000622,4500
Painting,Cylindrical,0,30.2,39.7,41.1,49276.43,18.7,0.000379,4500
Solar Services,Box,1,213.2,96.1,6.1,124979.97,23.4,0.000187,3500
Painting,Cylindrical,0,31.2,31.3,31.2,30468.67,29.6,0.000971,4500
Solar Services,Box,1,175.0,82.7,6.8,98413.0,26.9,0.000273,3500
Solar Services,Box,1,209.7,96.1,6.0,120913.02,21.6,0.000179,3500
Interiors,Wrapped,1,101.0,113.0,5.8,66195.4,25.9,0.000391,3500
Interiors,Wrapped,1,80.1,96.6,12.4,95946.98,14.9,0.000155,3500
Interiors,Box,0,72.8,69.1,81.8,411493.26,21.9,5.3e-05,5000
Interiors,Wrapped,1,44.3,62.7,16.3,45275.04,29.4,0.000649,3500
Interiors,Wrapped,1,91.5,77.4,7.4,52407.54,24.6,0.000469,3500
Interiors,Wrapped,1,79.8,116.3,19.1,177262.13,28.0,0.000158,3500
Construction,Irregular,0,93.1,31.1,45.5,131741.15,45.0,0.000342,4500
Solar Services,Box,1,205.7,86.2,8.8,156035.79,23.1,0.000148,3500
Construction,Irregular,0,66.8,85.7,28.1,160865.76,60.6,0.000377,4500
Interiors,Box,0,151.9,92.9,87.1,1229112.52,56.2,4.6e-05,5000
Interiors,Wrapped,1,135.0,55.3,17.0,126913.5,27.8,0.000219,3500
Interiors,Wrapped,1,98.7,113.9,5.3,59582.23,10.9,0.000183,3500
Interiors,Box,0,66.0,63.9,56.2,237017.88,57.3,0.000242,5000
Construction,Irregular,0,59.4,40.2,33.9,80949.13,98.8,0.001221,4500
Solar Services,Box,1,191.5,104.1,5.3,105656.29,25.0,0.000237,3500
Interiors,Box,0,58.4,51.6,53.9,162424.42,45.7,0.000281,5000
Construction,Irregular,0,31.6,86.7,33.9,92876.51,41.6,0.000448,4500
Painting,Cylindrical,0,39.2,39.3,45.7,70403.59,18.6,0.000264,4500
Construction,Irregular,0,43.9,45.3,31.2,62046.5,60.3,0.000972,4500
Painting,Cylindrical,0,35.0,25.0,34.7,30362.5,24.1,0.000794,4500
Solar Services,Box,1,164.7,96.8,7.1,113195.02,23.0,0.000203,3500
Solar Services,Box,1,163.3,105.3,4.1,70501.51,23.2,0.000329,3500
Interiors,Wrapped,1,51.8,64.1,18.7,62091.11,13.2,0.000213,3500
Construction,Irregular,0,40.9,90.5,41.8,154720.61,97.4,0.00063,4500
Painting,Cylindrical,0,24.5,29.5,48.6,35125.65,17.8,0.000507,4500
Solar Services,Box,1,163.9,103.5,5.3,89907.35,20.4,0.000227,3500
Construction,Irregular,0,66.0,72.3,36.1,172261.98,62.2,0.000361,4500
Interiors,Wrapped,1,73.1,84.3,12.7,78261.59,34.2,0.000437,3500
Interiors,Wrapped,1,104.2,101.2,17.0,179265.68,37.0,0.000206,3500
Construction,Irregular,0,63.8,74.5,30.5,144969.55,62.4,0.00043,4500
Painting,Cylindrical,0,21.1,28.0,39.2,23159.36,15.3,0.000661,4500
Solar Services,Box,1,202.2,84.5,8.8,150355.92,26.5,0.000176,3500
Interiors,Box,0,77.4,78.1,58.5,353628.99,36.9,0.000104,5000
Construction,Irregular,0,54.9,98.2,24.7,133162.15,85.0,0.000638,4500
Construction,Irregular,0,95.8,94.6,37.2,337131.7,89.9,0.000267,4500
Construction,Irregular,0,95.3,35.8,22.8,77787.67,95.8,0.001232,4500
Painting,Cylindrical,0,28.5,35.9,30.9,31615.33,25.3,0.0008,4500
Construction,Irregular,0,75.2,31.1,24.6,57532.51,42.2,0.000733,4500
Solar Services,Box,1,218.9,104.6,9.6,219810.62,24.8,0.000113,3500
Interiors,Box,0,54.0,64.8,81.8,286234.56,43.0,0.00015,5000
Solar Services,Box,1,215.6,91.2,5.4,106178.69,18.9,0.000178,3500
Painting,Cylindrical,0,30.9,24.4,48.0,36190.08,20.8,0.000575,4500
Solar Services,Box,1,184.1,109.5,4.1,82651.69,27.7,0.000335,3500
Interiors,Wrapped,1,121.5,52.7,19.7,126140.08,23.5,0.000186,3500
Interiors,Box,0,132.6,89.5,64.4,764279.88,26.7,3.5e-05,5000
Solar Services,Box,1,216.9,91.5,6.1,121062.74,28.1,0.000232,3500
Solar Services,Box,1,158.6,89.3,7.4,104806.05,25.0,0.000239,3500
Solar Services,Box,1,164.0,106.9,9.8,171809.68,21.7,0.000126,3500
Interiors,Box,0,100.6,70.0,68.1,479560.2,17.4,3.6e-05,5000
Interiors,Box,0,186.9,67.8,68.7,870554.03,44.8,5.1e-05,5000
Solar Services,Box,1,187.4,82.8,8.9,138098.81,28.8,0.000209,3500
Solar Services,Box,1,165.6,109.4,4.5,81524.88,19.8,0.000243,3500
Construction,Irregular,0,95.2,89.2,26.1,221637.02,56.4,0.000254,4500
Interiors,Box,0,186.1,84.7,73.4,1156979.98,35.7,3.1e-05,5000
Solar Services,Box,1,164.3,96.1,8.5,134208.45,24.9,0.000186,3500
Construction,Irregular,0,98.7,53.8,30.4,161425.82,86.4,0.000535,4500
Solar Services,Box,1,162.1,80.8,4.8,62868.86,21.3,0.000339,3500
Painting,Cylindrical,0,21.7,28.7,31.1,19368.77,29.8,0.001539,4500
Painting,Cylindrical,0,30.6,28.7,47.2,41451.98,23.0,0.000555,4500
Construction,Irregular,0,42.0,35.1,35.1,51744.42,40.3,0.000779,4500
Solar Services,Box,1,151.8,82.2,7.3,91089.11,20.2,0.000222,3500
Interiors,Box,0,59.3,79.1,59.1,277216.23,23.6,8.5e-05,5000
Interiors,Wrapped,1,41.1,128.0,8.5,44716.8,11.4,0.000255,3500
Solar Services,Box,1,183.9,81.3,8.1,121103.67,26.5,0.000219,3500
Painting,Cylindrical,0,32.8,35.5,32.1,37377.24,17.9,0.000479,4500
Painting,Cylindrical,0,20.1,26.6,33.8,18071.51,11.5,0.000636,4500
Construction,Irregular,0,51.7,40.8,27.1,57163.66,42.9,0.00075,4500
Construction,Irregular,0,86.7,59.2,39.1,200686.22,60.1,0.000299,4500
Interiors,Box,0,154.9,74.2,72.6,834433.91,49.5,5.9e-05,5000
Painting,Cylindrical,0,22.2,30.9,31.9,21882.76,10.9,0.000498,4500
Interiors,Box,0,106.2,89.5,81.8,777500.82,18.9,2.4e-05,5000
Painting,Cylindrical,0,33.3,35.3,45.2,53132.15,27.2,0.000512,4500
Solar Services,Box,1,195.5,97.9,5.9,112922.76,28.5,0.000252,3500
Construction,Irregular,0,55.3,65.9,37.9,138117.83,68.6,0.000497,4500
Interiors,Wrapped,1,64.8,125.1,13.5,109437.48,28.2,0.000258,3500
Interiors,Box,0,173.5,60.1,79.0,823760.65,57.7,7e-05,5000
Interiors,Wrapped,1,80.3,141.7,7.5,85338.82,29.7,0.000348,3500
Solar Services,Box,1,194.9,101.4,6.1,120553.45,23.0,0.000191,3500
Construction,Irregular,0,86.8,39.4,43.3,148082.54,80.3,0.000542,4500
Painting,Cylindrical,0,37.6,32.4,31.0,37765.44,19.1,0.000506,4500
Painting,Cylindrical,0,31.9,36.6,40.6,47402.12,23.5,0.000496,4500
Interiors,Wrapped,1,142.0,78.9,13.6,152371.68,12.2,8e-05,3500
Interiors,Box,0,123.9,87.5,98.4,1066779.0,47.3,4.4e-05,5000
Painting,Cylindrical,0,34.2,35.2,32.7,39365.57,19.2,0.000488,4500
Painting,Cylindrical,0,25.0,38.5,32.4,31185.0,28.1,0.000901,4500
Construction,Irregular,0,54.5,75.0,25.7,105048.75,77.7,0.00074,4500
Solar Services,Box,1,189.2,88.7,9.8,164463.99,19.2,0.000117,3500
Solar Services,Box,1,192.3,83.6,6.0,96457.68,26.0,0.00027,3500
Interiors,Box,0,180.0,53.5,78.1,752103.0,27.7,3.7e-05,5000
Solar Services,Box,1,212.7,93.3,4.2,83348.62,22.1,0.000265,3500
Interiors,Box,0,155.8,66.8,54.8,570327.71,39.1,6.9e-05,5000
Solar Services,Box,1,153.7,103.5,9.6,152716.32,19.1,0.000125,3500
Interiors,Wrapped,1,109.5,62.2,15.2,103525.68,33.0,0.000319,3500
Interiors,Box,0,55.0,86.7,63.8,304230.3,18.8,6.2e-05,5000
Painting,Cylindrical,0,25.1,34.8,44.2,38607.82,22.8,0.000591,4500
Painting,Cylindrical,0,38.1,34.6,36.6,48248.32,22.9,0.000475,4500
Interiors,Box,0,105.1,61.2,54.7,351836.96,46.2,0.000131,5000
Construction,Irregular,0,73.8,61.9,45.6,208310.83,71.4,0.000343,4500
Construction,Irregular,0,39.3,55.3,29.1,63242.74,80.4,0.001271,4500
Solar Services,Box,1,156.1,80.1,9.1,113782.85,27.0,0.000237,3500
Construction,Irregular,0,67.6,67.2,47.3,214870.66,43.2,0.000201,4500
Interiors,Wrapped,1,50.6,102.7,18.4,95617.81,10.7,0.000112,3500
Interiors,Box,0,143.0,60.3,67.0,577734.3,24.4,4.2e-05,5000
Construction,Irregular,0,46.0,83.5,49.2,188977.2,68.8,0.000364,4500
Solar Services,Box,1,179.8,102.2,7.9,145166.92,24.1,0.000166,3500
Solar Services,Box,1,160.4,83.5,8.6,115183.24,27.8,0.000241,3500
Interiors,Box,0,108.1,57.3,74.6,462082.1,32.1,6.9e-05,5000
Interiors,Box,0,176.5,63.4,71.7,802330.17,25.3,3.2e-05,5000
Painting,Cylindrical,0,26.5,30.4,35.1,28276.56,18.7,0.000661,4500
Painting,Cylindrical,0,33.2,32.3,41.6,44610.18,24.0,0.000538,4500
Painting,Cylindrical,0,26.5,24.1,36.3,23183.0,25.0,0.001078,4500
Construction,Irregular,0,55.1,80.0,34.9,153839.2,47.1,0.000306,4500
Interiors,Wrapped,1,121.8,75.7,5.8,53477.51,16.4,0.000307,3500
Construction,Irregular,0,46.3,58.8,42.4,115431.46,59.4,0.000515,4500
Interiors,Box,0,68.5,75.1,88.9,457332.71,28.2,6.2e-05,5000
Painting,Cylindrical,0,36.2,26.6,49.2,47375.66,20.1,0.000424,4500
Construction,Irregular,0,49.8,43.7,33.0,71816.58,57.5,0.000801,4500
Solar Services,Box,1,170.8,98.2,9.0,150953.04,29.7,0.000197,3500
Painting,Cylindrical,0,31.0,26.0,41.3,33287.8,20.4,0.000613,4500
Painting,Cylindrical,0,28.4,33.7,41.4,39623.11,16.1,0.000406,4500
Painting,Cylindrical,0,37.6,32.6,35.1,43024.18,12.0,0.000279,4500
Painting,Cylindrical,0,22.4,30.9,36.4,25194.62,11.2,0.000445,4500
Interiors,Box,0,92.2,85.4,70.4,554321.15,34.2,6.2e-05,5000
Construction,Irregular,0,83.7,90.5,29.3,221943.11,62.1,0.00028,4500
Solar Services,Box,1,192.6,108.9,5.4,113260.36,27.6,0.000244,3500
Interiors,Wrapped,1,94.9,102.2,18.1,175547.92,31.1,0.000177,3500
Painting,Cylindrical,0,24.7,33.5,49.7,41124.26,12.8,0.000311,4500
Interiors,Box,0,74.0,89.8,64.4,427950.88,49.8,0.000116,5000
Solar Services,Box,1,170.5,99.0,8.9,150227.55,26.3,0.000175,3500
Painting,Cylindrical,0,28.3,34.3,48.7,47272.6,27.7,0.000586,4500
Interiors,Wrapped,1,120.5,142.1,9.3,159244.37,32.4,0.000203,3500
Interiors,Box,0,142.2,78.7,82.9,927745.51,17.5,1.9e-05,5000
Solar Services,Box,1,184.2,106.7,7.5,147406.05,24.7,0.000168,3500
Painting,Cylindrical,0,39.6,29.9,37.5,44401.5,15.4,0.000347,4500
